Time,Open,High,Low,Close,Volume
2019.05.13 16:40:00,1298.12,1298.62,1297.11,1297.53,1099
2019.05.13 16:30:00,1298.72,1299.72,1297.62,1298.11,1263
2019.05.13 16:20:00,1297.73,1299.41,1297.72,1298.68,980
2019.05.13 16:10:00,1294.88,1297.9,1294.66,1297.85,1050
2019.05.13 16:00:00,1291.47,1296.46,1291.23,1294.85,1498
2019.05.13 15:50:00,1289.68,1291.66,1289.68,1291.47,604
2019.05.13 15:40:00,1288.51,1290.19,1288.48,1289.68,891
2019.05.13 15:30:00,1286.94,1288.52,1286.91,1288.5,595
2019.05.13 15:20:00,1286.87,1287.05,1286.1,1286.93,817
2019.05.13 15:10:00,1285.13,1287.3,1284.49,1286.86,1377
2019.05.13 15:00:00,1284.08,1285.96,1282.92,1285.13,746
2019.05.13 14:50:00,1283.89,1284.28,1283.88,1284.17,257
2019.05.13 14:40:00,1283.5,1284.1,1283.38,1283.89,159
2019.05.13 14:30:00,1283.11,1283.78,1283.08,1283.5,164
2019.05.13 14:20:00,1283.83,1283.88,1283.07,1283.11,162
2019.05.13 14:10:00,1283.58,1284.1,1283.38,1283.88,197
2019.05.13 14:00:00,1283.44,1283.79,1283.26,1283.58,146
2019.05.13 13:50:00,1283.48,1283.53,1283.11,1283.44,177
2019.05.13 13:40:00,1283.39,1283.65,1283.33,1283.49,209
2019.05.13 13:30:00,1283.72,1283.79,1283.3,1283.43,128
2019.05.13 13:20:00,1283.51,1283.8,1283.41,1283.72,136
2019.05.13 13:10:00,1283.31,1283.6,1283.21,1283.51,82
2019.05.13 13:00:00,1283.51,1283.71,1283.22,1283.3,133
2019.05.13 12:50:00,1283.35,1283.72,1283.17,1283.51,224
2019.05.13 12:40:00,1283.05,1283.27,1282.94,1283.27,89
2019.05.13 12:30:00,1282.76,1283.15,1282.73,1283.05,114
2019.05.13 12:20:00,1282.74,1283.06,1282.64,1282.76,119
2019.05.13 12:10:00,1283.05,1283.14,1282.68,1282.72,207
2019.05.13 12:00:00,1283.55,1284.05,1282.94,1283.04,339
2019.05.13 11:50:00,1283.63,1283.84,1283.44,1283.47,240
2019.05.13 11:40:00,1283.54,1283.77,1282.99,1283.63,361
2019.05.13 11:30:00,1283.06,1283.64,1282.76,1283.54,173
2019.05.13 11:20:00,1283.35,1283.37,1282.77,1283.06,193
2019.05.13 11:10:00,1283.47,1283.73,1283.32,1283.36,208
2019.05.13 11:00:00,1283.74,1283.84,1283.19,1283.47,275
2019.05.13 10:50:00,1283.43,1283.74,1283.29,1283.74,286
2019.05.13 10:40:00,1283.42,1283.71,1283.31,1283.4,274
2019.05.13 10:30:00,1282.77,1283.42,1282.57,1283.42,235
2019.05.13 10:20:00,1282.9,1283.27,1282.68,1282.77,140
2019.05.13 10:10:00,1282.6,1283.09,1282.08,1282.9,129
2019.05.13 10:00:00,1282.46,1282.9,1281.91,1282.6,380
2019.05.13 09:50:00,1283.16,1283.34,1282.46,1282.48,302
2019.05.13 09:40:00,1282.92,1283.16,1282.8,1283.14,275
2019.05.13 09:30:00,1283.44,1283.49,1282.73,1282.93,264
2019.05.13 09:20:00,1283.71,1283.73,1283.06,1283.44,229
2019.05.13 09:10:00,1284.02,1284.05,1283.61,1283.71,204
2019.05.13 09:00:00,1284.39,1284.39,1283.68,1284.08,332
2019.05.13 08:50:00,1284.99,1284.99,1284.38,1284.38,176
2019.05.13 08:40:00,1284.71,1285,1284.51,1284.99,158
2019.05.13 08:30:00,1284.29,1284.78,1284.01,1284.71,224
2019.05.13 08:20:00,1284.09,1284.3,1283.93,1284.3,91
2019.05.13 08:10:00,1283.9,1284.19,1283.53,1284.09,255
2019.05.13 08:00:00,1284.01,1284.01,1283.73,1283.93,78
2019.05.13 07:50:00,1283.71,1284.01,1283.71,1284,55
2019.05.13 07:40:00,1283.91,1284.03,1283.62,1283.71,85
2019.05.13 07:30:00,1283.43,1283.92,1283.42,1283.91,92
2019.05.13 07:20:00,1283.13,1283.49,1283.13,1283.45,133
2019.05.13 07:10:00,1283.55,1283.63,1282.83,1283.13,185
2019.05.13 07:00:00,1283.63,1283.66,1283.52,1283.53,91
2019.05.13 06:50:00,1283.71,1283.82,1283.52,1283.63,71
2019.05.13 06:40:00,1283.72,1283.84,1283.71,1283.71,105
2019.05.13 06:30:00,1283.64,1283.77,1283.52,1283.72,103
2019.05.13 06:20:00,1283.73,1283.82,1283.45,1283.63,177
2019.05.13 06:10:00,1284.06,1284.18,1283.72,1283.72,90
2019.05.13 06:00:00,1284.45,1284.54,1284.11,1284.11,111
2019.05.13 05:50:00,1284.77,1284.89,1284.37,1284.45,268
2019.05.13 05:40:00,1284.21,1284.87,1284.15,1284.79,185
2019.05.13 05:30:00,1284.47,1284.48,1283.89,1284.27,293
2019.05.13 05:20:00,1284.15,1284.54,1283.83,1284.48,284
2019.05.13 05:10:00,1284.71,1284.72,1283.79,1284.15,450
2019.05.13 05:00:00,1285.02,1285.23,1284.65,1284.72,264
2019.05.13 04:50:00,1285.82,1286.03,1284.92,1285.02,232
2019.05.13 04:40:00,1286.12,1286.16,1285.72,1285.83,176
2019.05.13 04:30:00,1286.71,1286.72,1286.05,1286.13,182
2019.05.13 04:20:00,1286.65,1286.72,1286.24,1286.62,176
2019.05.13 04:10:00,1286.83,1286.92,1286.42,1286.63,220
2019.05.13 04:00:00,1287.43,1287.55,1286.75,1286.83,357
2019.05.13 03:50:00,1288.3,1288.5,1287.43,1287.44,182
2019.05.13 03:40:00,1287.99,1288.3,1287.83,1288.3,161
2019.05.13 03:30:00,1288.09,1288.49,1287.89,1287.99,174
2019.05.13 03:20:00,1287.73,1288.29,1287.57,1288.09,284
2019.05.13 03:10:00,1287.65,1287.94,1287.24,1287.73,444
2019.05.13 03:00:00,1287.15,1287.94,1287.13,1287.65,212
2019.05.13 02:50:00,1287.45,1287.55,1287.05,1287.13,154
2019.05.13 02:40:00,1287.81,1288.02,1287.43,1287.45,198
2019.05.13 02:30:00,1287.45,1287.81,1287.35,1287.81,79
2019.05.13 02:20:00,1287.45,1287.65,1287.35,1287.35,74
2019.05.13 02:10:00,1287.45,1287.93,1287.38,1287.45,100
2019.05.13 02:00:00,1287.54,1287.61,1287.4,1287.45,123
2019.05.13 01:50:00,1287.49,1287.49,1287.34,1287.46,54
2019.05.13 01:40:00,1287.94,1287.94,1287.49,1287.49,72
2019.05.13 01:30:00,1287.84,1287.99,1287.54,1287.94,100
2019.05.13 01:20:00,1287.46,1287.89,1287.44,1287.84,138
2019.05.13 01:10:00,1287.14,1287.55,1287.08,1287.46,194
2019.05.13 01:00:00,1287.13,1287.34,1286.84,1287.17,213
2019.05.10 23:50:00,1285.67,1285.87,1285.63,1285.66,82
